Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Vino blanco de Misa,93,Grajales,750 ml,Vinos,25858,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-BLANCO-DE-MISA-375-VINO-DE-MISA-CASA-GRAJALES.jpg
Buchanan's special reserve,1,Buchanan's,750 ml,Whisky,405100,https://bevgo.com.co/wp-content/uploads/2020/12/658-1.jpg
Grand Old parr,1,Old Parr,750 ml,Whisky,272700,https://licoresjunior.com/wp-content/uploads/2023/12/Mesa-de-trabajo-1-copia-16-2.jpg 
Ron Maestro Gabo,2,Ron Maestro	,750 ml,Licores,432000,https://ronmedellinanejo.com/wp-content/uploads/2016/11/BOTELLA-GABO-retocada.png
Six Pack (Águila Original),1,Águila        ,"6 latas, 330 cm(cubicos)",Cerveza,12500,https://piragua.com.co/wp-content/uploads/2019/11/aguila-original-sixpack.jpg
Six Pack (Costeña Bacana),1,Costeña	,"6 latas, 330 cm(cubicos)",Cerveza,17900,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702004004925_28.jpg
Six Pack (Águila Lite),1,Águila       ,269ml*6latas,Cerveza,16800,https://licoresbrisasdejuanchito.com/wp-content/uploads/2021/10/Cerveza-Aguila-Light-Sex-Pack.png
Club Colombia (Maestría Cervecera Negra),16,Club Colombia,330cm(cubicos),Cerveza,3700,https://licoresjunior.com/wp-content/uploads/2023/12/Cerveza-Club-Colombia-negra-lata-330ml.jpg
Aguardiente Néctar (Calidad El Dorado),4,Néctar,2000ml,Aguardiente,104000,https://exitocol.vtexassets.com/arquivos/ids/24497704/Aguardiente-Dorado-NECTAR-750-ml-3488573_a.jpg
Aguardiente Néctar (Rojo),7,Néctar,750 ml,Aguardiente,37400,https://static.merqueo.com/images/products/large/9c6b0bac-a73b-460e-a67a-ca34cd380430.png
Ron Santa Fé (Añejo),16,Santa Fé,750 ml,Licores,50900,https://mercadosdelta.com/uploads/images/products/Rona%C3%B1ejosantafe750ml_.jpg
Crema de Ron Viejo de Caldas,4,Viejo de Caldas,700 ml,Licores,60000,https://tiendacommerkvalle.com.co/wp-content/uploads/2024/10/crema-ron-viejo-caldas-cheers-700-ml-1-1.png
Ron Medellín Añejo,8,Medellín,750 ml,Licores,50900,https://olimpica.vtexassets.com/arquivos/ids/1475508/7702049100576.jpg
Aguardiente Néctar Sin Azúcar (Edición Millonarios),1,Néctar,750ml,Aguardiente,39900,https://www.monde-selection.com/wp-content/uploads/2022/05/1036697.png
Aguardiente Néctar Azul,3,Néctar,750ml,Aguardiente,48500,https://olimpica.vtexassets.com/arquivos/ids/615354/7702404006048.jpg
Aguardiente Néctar Club Sin Azúcar,2,Néctar,750 ml,Aguardiente,39900,https://piragua.com.co/wp-content/uploads/2019/11/aguardiente-nectar-club-sin-azucar-750-piragua.jpg
Something Special (Negro),1,Something Special,750 ml,Whisky,80000,https://licorescasamoreno.com/wp-content/uploads/2022/10/WHISKY_SOMETHING_SPECIAL_750ML_LICORES_CASA_MORENO_.jpg
Aguardiente Cristal,2,Cristal,1000 ml,Aguardiente,44900,https://olimpica.vtexassets.com/arquivos/ids/604835/7702168118506.jpg
Something Special Blended Scotch (Amarillo),1,Something Special,750 ml,Whisky,72000,https://licoresjunior.com/wp-content/uploads/2023/12/Mesa-de-trabajo-1-3.png
Napoleón Brandy,22,        Napoleón,750 ml,Licores,52100,https://cigarreriareal.com/wp-content/uploads/2021/08/Bonaparte.jpeg
Domecq Brandy,24,Domecq,750 ml,Licores,96900,https://exitocol.vtexassets.com/arquivos/ids/26655624/Brandy-Botella-X-750ml-24460_a.jpg
Domecq Brandy (Pequeño),2,Domecq,375 ml,Licores,45000,https://licoresquindio.com/wp-content/uploads/2020/06/BRANDY_DOMECQ-375ml-LICORES_CALI-COLOMBIA.jpg
Ron Viejo de Caldas (Tradicional),1,Viejo de Caldas,375 ml,Licores,40000,https://olimpica.vtexassets.com/arquivos/ids/1601150/7702168214000.jpg
Gran Cinzano,11,Cinzano,750 ml,Vinos,60300,https://bevgo.com.co/wp-content/uploads/2024/09/Vino-Espumoso-Cinzano-Pro-Spriz-750-ml.jpg
Vino Espumante,11,Espumante,750 ml,Vinos,210000,https://exitocol.vteximg.com.br/arquivos/ids/26656160/Vino-Espumoso-Duo-De-Paris-X-750ml-765538_a.jpg
Santa Helena (Varietal),5,Santa Helena,750 ml,Vinos,34800,https://megatiendas.vtexassets.com/arquivos/ids/163794/7804300120986.jpg
Chatonier,1,Chatonier,750 ml,Vinos,50000,https://www.wine-searcher.com/images/labels/00/81/bodegas-carbomas-chatonier-brut-spain-10910081.jpg
Fantasia,3,Fantasía,750 ml,Vinos,23990,https://carulla.vteximg.com.br/arquivos/ids/19583807/VINO-ESPUMOSO-BLANCO-759625_a.jpg
Katich Uva Blanca,1,Katich,750 ml,Vinos,22200,https://exitocol.vteximg.com.br/arquivos/ids/24490094/VINO-ESPUMOSO-BLANCO-KATICH-721509_a.jpg
Molino Rojo,14,	Molino Rojo,750 ml,Vinos,28000,https://ivo-mucura.s3.amazonaws.com/productos/2fbRb7OHW4.jpg
Ron Maestro Botero,3,Maestro Botero,750 ml,Licores,85000,https://i0.wp.com/www.licoresbogota24.club/wp-content/uploads/2020/05/WhatsApp-Image-2020-09-27-at-10.13.25-PM.jpeg
Vermouth Blanco Añejas,1,Añejas,2000ml,Vinos,65000,https://vinosbodegasanejas.com/wp-content/uploads/2020/11/vino_vermouth_blanco_garrafa.png
Dubonnet Vino,2,Dubonnet,750 ml,Vinos,55000,https://s3.amazonaws.com/takami.co/thumbnails/productimage/0570a73dcd1c4697b2f54cc40e874c3f/aoqtmyd6gdhcjp2r2lbeve_1280_800.jpg
Hennessy Very Special Cognac,1,Hennessy,750 ml,Licores,480000,https://cdn.powered-by-nitrosell.com/product_images/26/6463/large-hennessyvs750mlbt.jpg
Undurraga (Pequeño),9,Undurraga,750 ml,Vinos,155500,https://olimpica.vtexassets.com/arquivos/ids/605358/7804315010005.jpg
Undurraga (Grande),1,Undurraga,1500ml,Vinos,85000,https://www.licoresmerakivid.com.co/wp-content/uploads/2024/01/image-removebg-preview-2024-01-15T144619.913-430x430.png
José Cuervo Especial,3,José Cuervo,750 ml,Tequila,91950,https://jumbocolombiaio.vtexassets.com/arquivos/ids/231493/7501035010109.jpg?v=637830554959870000
Olmeca,2,Olmeca	,700 ml,Tequila,80000,"https://static.wixstatic.com/media/477dc5_c9d6bea423874d8d85d683a09603a192~mv2.png/v1/fill/w_560,h_560,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/477dc5_c9d6bea423874d8d85d683a09603a192~mv2.png"
Sun Dry,1,Sun Dry,600 ml,Licores,60000,https://img.lalr.co/cms/2024/12/20130948/Draay.png
Casa Grajales Vino Blanco,3,Casa Grajales,750 ml,Vinos,31000,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-BLANCO-DE-MISA-375-VINO-DE-MISA-CASA-GRAJALES.jpg
Caja Aguardiente Néctar Azul,3,Néctar,1 L,Aguardiente,50000,https://domicilios24siete.com/wp-content/uploads/2018/02/Nectar-Azul-1-litro-e1530677760132.png
Ron Santa Fé Añejo Caja,5,Santa Fé,250 ml,Licores,15500,https://distribuidoranikoll.com/wp-content/uploads/2023/04/IMG-20230424-WA0026.jpg
Ron Santa Fé Añejo Caja Grande,2,Santa Fé,1 L,Licores,75000,https://freskofood57.com/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-02-at-7.52.20-PM.jpeg
Ron Viejo de caldas (Tradicional) Caja,9,Viejo de Caldas,250 ml,Licores,28000,https://jumbocolombiaio.vtexassets.com/arquivos/ids/186930/7702168213508.jpg
Vino Chileno Cata Vieja,15,Cata Vieja,1 L,Vinos,35000,https://licoreslarebaja.com/137-home_default/vino-tinto-cata-vieja-x-1000-ml.jpg
Cuatro Cumbres Caja Roja,5,Cuatro Cumbres,1 L,Vinos,32000,https://licoresmedellin.com/cdn/shop/files/VINO_CRUATRO_CUMBRES_TINTO_TETRAPACK_LITRO_1L_4a05b574-bdcf-45e8-abbb-b23de6e50ab3.jpg
Cuatro Cumbres Caja Verde,8,Cuatro Cumbres,1 L,Vinos,32000,https://mercaldas.vtexassets.com/arquivos/ids/184923/Vino-Cuatro-Cumbres-Blanco-Caja-X1Lt.jpg
Aguardiente Cristal Caja,12,	Cristal,750 ml,Aguardiente,34350,https://elviejoparisvirtual.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTk5NTk0MywicHVyIjoiYmxvYl9pZCJ9fQ==--39a455b4cc2a71605eedd2bdbea7220963347d89/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--cef66509c9cdc75663c0eefd9421db1d2ea4fead/AGUARDIENTE%20CRISTAL%20750ML.png
Vino Tinto Crianza Ibáñez,1,Ibáñez,750 ml,Vinos,60600,https://casaibanezcolombia.com/cmsc/wp-content/uploads/2022/11/MANOLO-IBANEZ-TINTO-CRIANZA-1-1.png
Aromo Merlot Vino,3,Aromo,	750 ml,Vinos,53900,https://licor3b.cl/wp-content/uploads/2020/08/2105-Aromo-Reserva-Merlot-750-ml.jpg
José Cuervo Tequila Plata,3,José Cuervo	,750 ml,Tequila,94900,https://lalico.com.co/cdn/shop/files/IMAGENES_NUEVAS_-_2024-07-24T183522.703.png?v=1721864521
Vino Blanco de Misa Dulce,5,Vino Blanco de Misa ,750 ml,Vinos,25.858,https://olimpica.vtexassets.com/arquivos/ids/618860/7702121213125.jpg
Ron Bacardí Añejo,4,Bacardí,750 ml,Licores,54000,https://exitocol.vtexassets.com/arquivos/ids/26655610/Ron-Anejo-Bacardi-X-750ml-368314_a.jpg
Vino de Manzana Casanova Burbujeante,25,Casanova	,750 ml,Vinos,18000,https://vinosbodegasanejas.com/wp-content/uploads/2020/11/vino_manzana_botella.png
Sauvignon Blanc Undurraga,2,Undurraga,750 ml,Vinos,50000,https://exitocol.vteximg.com.br/arquivos/ids/26657645/Vino-Blanco-Undurraga-Sauvignon-X-750ml-24499_a.jpg
