Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Contenedores térmicos con tapa plástica Wau,1,Wau,Unidad,Desechables,800,https://colombia.carvajalempaques.com/cms/wp-content/uploads/contenedor-termico-1.jpg
Paquetes de cucharas plásticas blancas desechables Domingo,7,Domingo,Paquete,Desechables,3000,https://exitocol.vteximg.com.br/arquivos/ids/24071052/Cuchara-Blanca-Grande-Paquete-X-25-Unids-32364_a.jpg
Mini recipientes con tapa,5,Genérica,Unidad,Desechables,600,https://anforama.com/cdn/shop/products/Recipiente-cierre-seguro-M00570114.jpg
Paquetes de cubiertos desechables Domingo,9,Domingo,Paquete,Desechables,3500,https://olimpica.vtexassets.com/arquivos/ids/615635/7702251016979.jpg
Kumbia Mango,6,Kumbia,500 ml,Bebida,2500,https://images.rappi.com/products/105221774371_tyidbjzuaqvq_334343217414_ognabafilgomsc_7709997783912_1.jpg
Soka Mango,8,Soka,500 ml,Bebida,2800,https://alpina.com/media/catalog/product/cache/b6f2be0b6c86c25988d2ad5d737f6527/s/o/soka-mango-botella-410-ml-7702001159321_img1_5.png
Hit Mango,10,Hit,500 ml,Bebida,2600,https://copservir.vtexassets.com/arquivos/ids/1548518/REFRESCO-HIT-MANGO_F.png
Hit Lulo,7,Hit,500 ml,Bebida,2600,https://licoresmedellin.com/cdn/shop/files/JUGOS_HIT_PET_LULO_500ML.jpg
Hit Tropical,7,Hit,500 ml,Bebida,2600,https://megatiendas.vtexassets.com/arquivos/ids/159470/7702090029888.jpg
Hit Mora,7,Hit,500 ml,Bebida,2600,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7707133083216.jpg
Soka Maracuyá,9,Soka,500 ml,Bebida,2800,https://pacardylwpmedia.s3.us-east-2.amazonaws.com/wp-content/uploads/2022/03/02170820/7702001159345.jpg
Soka Lulo,1,Soka,500 ml,Bebida,2500,https://pacardylwpmedia.s3.us-east-2.amazonaws.com/wp-content/uploads/2024/06/18203049/7702001168934.jpg
Soka Mandarina,1,Soka,500 ml,Bebida,2500,https://carulla.vteximg.com.br/arquivos/ids/20363751/Bebida-Jugo-Mandarina-SOKA-410-ml-3110652_a.jpg
Hit naranja piña,4,Hit,500 ml,Bebida,2600,https://distrimarketsas.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTczNzk0NiwicHVyIjoiYmxvYl9pZCJ9fQ==--9f81ebbae98aa83b33893dd9eb69f5785ee65c4a/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbNjAwLDYwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--db42ba722be1e76788976c3dae164d352f833ae3/nueva-imagen%20-%202024-06-13T154809.845.png
Agua glacial 620ml,8,Glacial,620 ml,Bebida,2200,https://glacial.com.co/wp-content/uploads/2024/06/agua_singas_620.png
Agua glacial 1L,4,Glacial,1 L,Bebida,2800,https://almin.com.co/37569-home_default/agua-glacial-620-paca18unides-.jpg
Full aqua natural,1,Full Aqua,500 ml,Bebida,2000,https://media.surtiplaza.co/dimen/7707335286316.png
Cielo,1,Cielo,500 ml,Bebida,1800,https://kyotorolls.com/cdn/shop/products/AguaCielo.png
Cristal limón agua,4,Cristal,500 ml,Bebida,2000,https://d31f1ehqijlcua.cloudfront.net/n/1/0/8/d/108d7e05fab9f44424c11b6f9a785d10f0006059_Water_489588_01.jpg
Platos desechables pequeños,13,Genérica,Paquete (20 unid.),Desechables,1000,https://www.papyser.com/catalogo/1034258.jpg
Platos desechables grandes,14,Genérica,Paquete (20 unid.),Desechables,1200,https://proquimindustrial.com/cdn/shop/products/Plato-grande-de-icopor_630b93a0-7221-40f3-87bd-40e55870f342.jpg
Platos medianos,22,Genérica,Paquete (20 unid.),Desechables,1400,"https://static.wixstatic.com/media/225c66_849ed9cea425478a9d3af1542b7bf409~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg"
Vasos plástico transparentes,7,Genérica,Paquete,Desechables,1000,https://unomasuno.pe/wp-content/uploads/2021/06/vaso-descartable-transparente.jpg
Agua con gas cristal,7,Cristal,500 ml,Bebida,2200,https://tomatelavida.com.co/wp-content/uploads/2023/03/Agua-con-gas-Cristal-2023-G.png
H2oh limonata,8,H2Oh,500 ml,Bebida,2800,https://megatiendas.vtexassets.com/arquivos/ids/159496/7702090044577.jpg
H2oh maracuyá,7,H2Oh,500 ml,Bebida,2800,https://megatiendas.vtexassets.com/arquivos/ids/168092/7702090029154.jpg
Agua cristal,13,Cristal,1 L,Bebida,2500,https://olimpica.vtexassets.com/arquivos/ids/1431987/7702090022711.jpg
Agua cristal 300ml,4,Cristal,300 ml,Bebida,1500,https://mercaldas.vtexassets.com/arquivos/ids/1329380/Agua-CRISTAL-x300-ml_39859.jpg
Agua cristal 600ml,3,Cristal,600 ml,Bebida,1800,https://exitocol.vteximg.com.br/arquivos/ids/26658915/Agua-Normal-600-ml-973621_a.jpg
Sabifrut,5,Sabifrut,500 ml,Bebida,2000,https://prodcdnmobisoft.oxxodomicilios.com/01HNDXGRZM4MPYN06MD67DCK0Y.png
