Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Agua cristal con gas,23,Cristal,500 ml,Bebida,2700,https://www.monchef.com.co/products/agua-cristal-gas.jpeg
Postobón naranja vidrio,15,Postobón,300 ml,Bebida,1900,https://infonutricional.tomatelavida.com.co/wp-content/uploads/2023/06/01-naranaja-350-RET-1.png
Colombiana vidrio,12,Postobón,300 ml,Bebida,1900,https://carulla.vtexassets.com/arquivos/ids/18674643/GASEOSA-FRIOPACK-COLOMBIANA-176758_a.jpg
Postobón uva vidrio,14,Postobón,300 ml,Bebida,1900,https://infonutricional.tomatelavida.com.co/wp-content/uploads/2023/06/postobon_01-uva-350-RET.png
7up vidrio,12,7Up,300 ml,Bebida,1900,https://i5.walmartimages.com/seo/7up-Lima-Lemon-Soda-Glass-Bottle-12-Units-TOTAL-of-350-mL-12-Fl-Oz-each_ed0cda22-84ec-4f61-a000-57624c224323.2f1bb485bb8ac6e1de6986348abdd19c.jpeg
Paquete de tenedores plásticos kuantto (100 unidades),1,Kuantto,100 unidades,Desechables,5000,https://www.todoaseo.com/wp-content/uploads/2017/01/TENEDOR-DOM.-GRANDE-X-100-REF-05223.jpg
Paquetes de cuchillos de plástico desechables domingo,2,Domingo,Paquete,Desechables,3000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtQf2_yEEwaIlB6C3N02V3qlABvhT9zgUrbw&s
Paquetes de mini tenedores plásticos (25 unidades),9,Genérica,25 unidades,Desechables,2500,https://m.media-amazon.com/images/I/81NLcQK68hL.jpg
Paquete de pitillos (30 unidades),1,Genérica,30 unidades,Desechables,1500,https://housedistribuciones.com/imgupload/MKeuo4_Pitillogaseosa.png
Hit mango vidrio,1,Hit,300 ml,Bebida,2400,https://tomatelavida.com.co/wp-content/uploads/2022/12/Hit-Mango-2022-G.png
Chirros BBQ,4,Chirros,200 g,Alimentos,2000,https://www.chirros.com/img/productos/g_pro_2.jpg
Chirros natural,5,Chirros,200 g,Alimentos,2000,https://www.chirros.com/img/productos/h_pro_1.jpg
Chirros ahumado,5,Chirros,200 g,Alimentos,2000,https://www.chirros.com/img/productos/g_pro_3.jpg
Chirros picantes,5,Chirros,200 g,Alimentos,2000,https://www.bazzarbog.com/24797-home_default/chirros-americano-limon-x30grs.jpg
Mantecada del cerro,3,Del Cerro,250 g,Alimentos,2500,https://images.rappi.com/products/a7c08a3e-ae2d-4383-ab23-de210047ef59.jpg
Brownie del cerro arequipe,2,Del Cerro,200 g,Alimentos,2800,https://images.rappi.com/products/6689c631-ec7d-4918-afaa-43951fdf579f.jpg
Brownie del cerro clásico,4,Del Cerro,200 g,Alimentos,2800,https://images.rappi.com/products/cfcab78a-8a35-4b30-b118-c9fb846f794f.jpg
Alfajor del cerro,2,Del Cerro,150 g,Alimentos,2500,https://mundodulces17.com/wp-content/uploads/2023/09/image0-e1694552281420.jpeg
Paquetes tenedores de plástico (16 unidades),2,Genérica,16 unidades,Desechables,2000,"https://static.wixstatic.com/media/f6ca48_1db3013903a34e2fb623290ea18d9769~mv2.jpg/v1/fill/w_560,h_420,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/f6ca48_1db3013903a34e2fb623290ea18d9769~mv2.jpg"
Copas de plástico,26,Genérica,Unidad,Desechables,800,https://estra.vtexassets.com/arquivos/ids/179510/4-1048515_Copa-Plastica-Para-Vino-160Ml-Natural.jpg
Bases de copas de plástico,25,Genérica,Unidad,Desechables,800,https://cdn.shopify.com/s/files/1/0434/0596/7524/products/8404-29327_4d1a23d1-e889-4098-aeff-3173f3de9d14_340x.jpg
Tenedores plásticos,50,Genérica,Paquete,Desechables,4500,https://assets.tuzonamarket.com/images/producto/NtVk1giMPS.jpg
Paquete de platos desechables pequeños (20 unidades),1,Kangupor,20 unidades,Desechables,1000,https://lagarza.com.co/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDczODcsInB1ciI6ImJsb2JfaWQifX0=--0a48df93bb1230812b2ef8f894459d7bccedfb5c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/plato%20ico%2020x20.jpg
Gilette presto barba,20,Gillette,Unidad,Cuidado Personal,3500,https://megaseo170.com/cdn/shop/files/gillete_ultragripo_2.jpg
Schick presto barba Xtreme,1,Schick,Unidad,Cuidado Personal,6000,https://colsubsidio.vteximg.com.br/arquivos/ids/165639/7591066701015.jpg
Paquete de platos desechables grandes (20 unidades),1,Genérica,20 unidades,Desechables,1200,https://www.todoaseo.com/wp-content/uploads/2017/01/PLATO-ICOPOR-PANDO-26-DARNEL-X-20-REF-01933.jpg
"Paquete de platos desechables (Kangupor, 20 unidades)",2,Kangupor,20 unidades,Desechables,3500,https://todoendesechables.com.co/wp-content/uploads/sites/5/2021/03/Plato-pando-kangupor-de-20.png
"Paquetes de vasos desechables 8 oz (Darnel, 20 unidades)",2,Darnel,20 unidades,Desechables,3200,https://berpaadmin.com.co/backend/admin/backend/web/archivosDelCliente/items/images/20240802163157-EMPAQUES-Y-DESECHABLES-PORTACOMIDAS-CONTENDOR-DELI-DARNEL-16-OZ-X-25-UNIDADES-CAJAX-9-PAQUETES----1024202408021631577361.jpg
Vive 100,6,Vive 100,500 ml,Bebida,2500,https://colsubsidio.vteximg.com.br/arquivos/ids/202571-1200-1200/7702354934361.jpg.jpg
Sonetto dulces,34,Sonetto,200 g,Alimentos,2000,https://distribuidoranikoll.com/wp-content/uploads/2024/08/SONETO.jpg
Golpe con todo ranchero,4,Golpe con Todo,250 g,Alimentos,3200,https://exitocol.vtexassets.com/arquivos/ids/25923810/Con-Todo-Rancher-GOLPE-250-Gramo-919310_a.jpg
Cuchuco de maíz del cultivo,3,Del Cultivo,500 g,Alimentos,3000,https://villavoexpress.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6Mzg5OCwicHVyIjoiYmxvYl9pZCJ9fQ==--eabd213e8fc3e01dda5144a94c401369b41ab717/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJ3ZWJwIiwicmVzaXplX2FuZF9wYWQiOlszMjAsMzIwLHsiZXh0ZW5kIjoid2hpdGUifV19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--a7d4729092d7300df826ec1077a67fefc8243382/cuchuco-de-cebada-del-cultivo-500gr%20(1).jpg
Cuchuco de cebada del cultivo,3,Del Cultivo,500 g,Alimentos,3000,https://exitocol.vteximg.com.br/arquivos/ids/26659306/Cuchuco-De-Cebada-500-gr-218715_a.jpg
"Paquetes de vasos plástico 9 oz (Tuc, 50 unidades)",2,Tuc,50 unidades,Desechables,4000,https://www.papyser.com/catalogo/1046322.jpg
"Paquetes de vasos plástico 9 oz (Vacan, 50 unidades)",2,Vacan,50 unidades,Desechables,4000,https://housedistribuciones.com/imgupload/BgNWPD_9oz%20Vacan%20Translucido.png
Café aguila roja,9,Águila Roja,250 g,Alimentos,4500,https://olimpica.vtexassets.com/arquivos/ids/717455/7702040027001.jpg
"Paquetes de vasos plástico 7 oz (Tuc, 50 unidades)",3,Tuc,50 unidades,Desechables,3500,https://detalshop.com/cdn/shop/products/031296.jpg
"Paquetes de vasos plástico 7 oz (Vacan, 50 unidades)",4,Vacan,50 unidades,Desechables,3500,https://housedistribuciones.com/imgupload/CYf8RP_VASO-7M4-VACAN-X50UND-480x480.png
Botella cola y Pola,21,Postobón,330 ml,Bebida,2500,https://distribuidoranikoll.com/wp-content/uploads/2024/01/COLA-Y-POLA.jpg
Botella pony malta,31,Postobón,330 ml,Bebida,2700,https://olimpica.vtexassets.com/arquivos/ids/1479299/7702004013484.jpg
Bolsas de basura negras,16,Genérica,Unidad,Aseo,1000,https://gmgsuplidores.com/cdn/shop/products/Bolsa-basura-negra-2_1400x.jpg
Bolsas de basura blancas grandes,9,Genérica,Unidad,Aseo,1500,"https://m.media-amazon.com/images/I/51C8c+trbSL._AC_UF894,1000_QL80_.jpg"
Bolsas de basura verdes pequeñas,2,Genérica,Unidad,Aseo,1800,https://www.multiexpress.com.co/wp-content/uploads/2023/02/1704.jpg
Bolsas de basura blanca pequeña,4,Genérica,Unidad,Aseo,800,https://www.multiexpress.com.co/wp-content/uploads/2023/02/1703.jpg
Bolsas negras 70x95cm,28,Genérica,Unidad,Aseo,2500,https://f.fcdn.app/imgs/d7d8a8/cleanway.com.uy/clewuy/1aa9/original/catalogo/40002_40002_1/1920-1200/bolsas-de-basura-negras-50cm-x-55cm-30-unidades-bolsas-de-basura-negras-50cm-x-55cm-30-unidades.jpg
Bolsas jumbo negras 80x115cm,32,Genérica,Unidad,Aseo,2800,https://www.multiexpress.com.co/wp-content/uploads/2023/02/1709.jpg
Cera D Medellín (blanca),10,D Medellín,Unidad,Aseo,2300,https://exitocol.vteximg.com.br/arquivos/ids/23415912/cera-para-cabello-reuzel-blanca-340-g.jpg
Cera Pel Flex (naranja),28,Pel Flex,Unidad,Aseo,2300,https://mercaldas.vtexassets.com/arquivos/ids/1331089/Cera-pelflex-SELECTA-amarilla-x400-ml_131003.jpg
Cera Brillo Líder (Escarlata),12,Brillo Líder,Unidad,Aseo,2300,https://www.suministrosdhd.com/wp-content/uploads/2020/08/CERA-ESCARLATA-ROJA-scaled.jpg
Bolsas negras 98x125cm,39,Genérica,Unidad,Aseo,3500,https://www.kipclin.com/images/virtuemart/product/KIP-ILK-1102903.jpg
Bolsas negras 55x70cm,22,Genérica,Unidad,Aseo,3000,https://olimpica.vtexassets.com/arquivos/ids/630288/7806810800457.jpg
Bolsas navideñas,50,Genérica,Unidad,Aseo,5000,https://admin.burica.com.co/backend/admin/backend/web/archivosDelCliente/items/images/Navidad-Bolsas-de-Navidad-y-Papel-Regalo-BOLSA-DE-REGALO-39X30X12CM-NAVIDAD-SURT-1187820240823165103.jpg
Bolsas 3kg,10,Genérica,Unidad,Aseo,2000,"https://static.wixstatic.com/media/516e39_5284445adef049519a2925ed091df83b~mv2.png/v1/fill/w_480,h_480,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/516e39_5284445adef049519a2925ed091df83b~mv2.png"
Bolsas 5kg,1,Genérica,Unidad,Aseo,2500,https://www.tierragro.com/cdn/shop/products/bolsa-semillero-capacidad-5-kl-50-und_45cf194a-0948-4af0-9a8a-f35bbf333ee6.jpg?v=1596330529
Head & Shoulders,6,Head & Shoulders,375 ml,Cuidado Personal,8000,https://olimpica.vtexassets.com/arquivos/ids/1391253/7500435020008.jpg
Head & Shoulders crema para peinar coco,27,Head & Shoulders,300 ml,Cuidado Personal,8000,https://www.farmalisto.com.co/153923-large_default/comprar-crema-para-peinar-control-caspa-hidratacion-hs-coconut-frasco-con-300-ml-precio.jpg
Head & Shoulders shampoo control 2 en 1,6,Head & Shoulders,375 ml,Cuidado Personal,7000,https://olimpica.vtexassets.com/arquivos/ids/1391254/7500435020046.jpg
Sedal células madre,5,Sedal,350 ml,Cuidado Personal,2500,https://cdn1.totalcommerce.cloud/mercacentro/product-thumb/es/shampo-sedal-celulas-madres-x-650-ml-1.jpg
Gamaderm,21,Gamaderm,100 ml,Cuidado Personal,2500,https://res.fkhealthplus.com/incom/images/product/Gamaderm-1698732124-10077060-1.jpg
Dove anticaspa shampoo,5,Dove,400 ml,Cuidado Personal,6000,https://olimpica.vtexassets.com/arquivos/ids/742562/7702006206617.jpg
Limpiadores multiusos Sanpic canela manzana,3,Sanpic,1 L,Aseo,5800,https://easycolombia.vtexassets.com/arquivos/ids/181266/sanpic-limpia-pisos-canela-manzana-1000ml-1.jpg
Sanpic canela manzana,4,Sanpic,500 ml,Aseo,6000,https://s3.pagegear.co/409/productos/13934_800x800.jpg
Sanpic vainilla,5,Sanpic,500 ml,Aseo,5000,https://supermercadocomunal.com/66921-large_default/limpiapisos-sanpic-vainilla-doy-pac-x450.jpg
Sanpic lavanda,4,Sanpic,500 ml,Aseo,5000,https://mercasur.com.co/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDUxODAxLCJwdXIiOiJibG9iX2lkIn19--335dc78a45da404bf6c19ffac96a4b36abe001ef/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/7702626216782.jpg
Fabuloso fresca primavera (azul claro),2,Fabuloso,1 L,Aseo,4700,https://m.media-amazon.com/images/I/714c2qUfXTL.jpg
Fabuloso fresco amanecer (verde),2,Fabuloso,1 L,Aseo,2500,https://exitocol.vtexassets.com/arquivos/ids/27638022/LIMPIAPISOS-AROMAT-DESINFEC-FABULOSO-61010111-3001295_h.jpg
Fabuloso fresca lavanda (morado),2,Fabuloso,1 L,Aseo,2500,https://exitocol.vtexassets.com/arquivos/ids/27624514/Limpiapisos-Lavanda-X-1000-ml-135915_a.jpg
Aromax manzana verde y citronela,2,Aromax,500 ml,Aseo,2000,https://exitocol.vtexassets.com/arquivos/ids/26779373/Limpiapisos-Manzana-AROMAX-DUO-500-ml-3326742_b.jpg
Aromax frutos rojos,2,Aromax,500 ml,Aseo,2000,https://images.rappi.com/products/602706245236_pccsxavchqii_516058201411_bbggfmzsphhc_2967918_1.png
Aromax lavanda,1,Aromax,500 ml,Aseo,2000,https://eurosuper.vtexassets.com/arquivos/ids/157626/7702354950385.jpg
Sobres lavanda,16,Genérica,Paquete,Aseo,3000,https://olimpica.vtexassets.com/arquivos/ids/646600/7702354946456.jpg
