Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Vino blanco de Misa 750 ml,93,Grajales,750 ml,Bebidas alcoholicas,16000,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-BLANCO-DE-MISA-375-VINO-DE-MISA-CASA-GRAJALES.jpg
Copa Vino blanco de Misa 125 ml,93,Grajales,125 ml,Bebidas alcoholicas,3.000,https://casagrajales.com.co/wp-content/uploads/2020/11/VINO-BLANCO-DE-MISA-375-VINO-DE-MISA-CASA-GRAJALES.jpg
Buchanan's special reserve 750 ml,1,Buchanan's,750 ml,Bebidas alcoholicas,350000,https://bevgo.com.co/wp-content/uploads/2020/12/658-1.jpg
Grand Old parr 750 ml,1,Old Parr,750 ml,Bebidas alcoholicas,95000,https://licoresjunior.com/wp-content/uploads/2023/12/Mesa-de-trabajo-1-copia-16-2.jpg 
Ron Maestro Gabo 750 ml,2,Ron Maestro	,750 ml,Bebidas alcoholicas,140000,https://ronmedellinanejo.com/wp-content/uploads/2016/11/BOTELLA-GABO-retocada.png
Lata Águila Original 330cm ,20,Águila        ,330cm(cubicos),Bebidas alcoholicas,3000,https://ronmedellinanejo.com/wp-content/uploads/2016/11/BOTELLA-GABO-retocada.png
Six Pack Águila Original 330 cm,1,Águila        ,"6 latas, 330 cm(cubicos)",Bebidas alcoholicas,21.000,https://piragua.com.co/wp-content/uploads/2019/11/aguila-original-sixpack.jpg
Lata Costeña Bacana 330cm ,20,Costeña	,330cm(cubicos),Bebidas alcoholicas,3.000,https://piragua.com.co/wp-content/uploads/2019/11/aguila-original-sixpack.jpg
Six Pack Costeña Bacana  330 cm,1,Costeña	,"6 latas, 330 cm(cubicos)",Bebidas alcoholicas,18.000,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702004004925_28.jpg
Lata Águila Lite 269 ml,20,Águila       ,269ml,Bebidas alcoholicas,2.500,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702004004925_28.jpg
Six Pack Águila Lite 269 ml,1,Águila       ,269ml*6latas,Bebidas alcoholicas,15.000,https://licoresbrisasdejuanchito.com/wp-content/uploads/2021/10/Cerveza-Aguila-Light-Sex-Pack.png
Lata Club Colombia Maestría Cervecera Negra 330 cm,20,Club Colombia,330cm(cubicos),Bebidas alcoholicas,4.000,https://licoresbrisasdejuanchito.com/wp-content/uploads/2021/10/Cerveza-Aguila-Light-Sex-Pack.png
Six pack Club Colombia Maestría Cervecera Negra 330 cm,16,Club Colombia,330cm(cubicos),Bebidas alcoholicas,14.000,https://licoresjunior.com/wp-content/uploads/2023/12/Cerveza-Club-Colombia-negra-lata-330ml.jpg
