Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Frutos Durazno,5,Sin marca,260 g,Frutas procesadas,10000,https://exitocol.vtexassets.com/arquivos/ids/26679590/Duraznos-Con-Pepa-En-Almibar-Bombilla-ALFA-250-gr-3420440_a.jpg
Don próspero pasta de ajo,5,Don Próspero,100 g,Condimentos,4000,https://images.rappi.com/products/7a540bc4-995b-4b54-90f8-ca0f044b8579.png
Haz de oros harina de trigo,8,Haz de Oros,500 g,Harinas,3500,https://www.hv.com.co/wp-content/uploads/2018/03/1167_HARINA-HDO-CONGELADOS-x-50KG_60x96_V3-copia.png
"De la abuela gelatina sabor a cereza, frambuesa y fresa",8,De la abuela,48g,Gelatinas,3000,https://olimpica.vtexassets.com/arquivos/ids/1162844/7707287464169.jpg
Gelatina frutiño sabor a limón,5,Frutiño,14g,Gelatinas,1500,https://mercaldas.vtexassets.com/arquivos/ids/1326580/Gelatina-FRUTINO-limon-x14-g_121155.jpg
Gelatina frutiño sabor a frambuesa,9,Frutiño,14g,Gelatinas,1500,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702354955298.jpg
Gelatina frutiño sabor a cereza,8,Frutiño,14g,Gelatinas,1500,https://eurosuper.vtexassets.com/arquivos/ids/185426/7702354955236.jpg
Gelatina frutiño sin sabor,6,Frutiño,15g,Gelatinas,1500,https://olimpica.vtexassets.com/arquivos/ids/626888/7702354009397.jpg
Haz de oros polvo para hornear con leudante,4,Haz de oros,500g,Hornear,5000,https://olimpica.vtexassets.com/arquivos/ids/991236/7702020011327.jpg
Diana maiz,4,Diana,500 gr,Maíz,5500,https://megatiendas.vtexassets.com/arquivos/ids/171974/7702206036007.jpg
Maiz midia,2,Midia,460 gr,Maíz,5000,https://www.midia.com.co/sites/default/files/styles/product_detail/public/2024-02/031_Maiz_Tierno_Lata_MiDia_241_g.png
Maiz act 2,10,Act 2,80 gr,Maíz,4000,https://i5.walmartimages.com.mx/gr/images/product-images/img_large/00750100655900L.jpg
Maiz act 2 mantequilla,1,Act 2,80 gr,Maíz,4000,https://olimpica.vtexassets.com/arquivos/ids/1840848/7501006559019.jpg.jpg
Harina maíz blanco diana,4,Diana,500 gr,Harinas,5000,https://megatiendas.vtexassets.com/arquivos/ids/175181/7702206942216.jpg.jpg
Promasa harina de maíz blanco,8,Promasa,500 gr,Harinas,4000,https://static.merqueo.com/images/products/large/66275002-a450-4a3f-a15b-46f2edb8b658.jpg
Promasa harina de maíz amarillo,6,Promasa,500 gr,Harinas,4000,https://megatiendas.vtexassets.com/arquivos/ids/169395/7702084137605.jpg
Arina pan arepas choclo,1,Arina pan,500 gr,Harinas,5000,https://co.allofpan.com/wp-content/uploads/2024/09/850g_front.png
Arina pan harina amarillo,3,Arinapan,1000 gr,Harinas,8000,https://olimpica.vtexassets.com/arquivos/ids/685195/7702084137520.jpg
Harina pan blanco,7,Harina pan,500 gr,Harinas,5000,https://olimpica.vtexassets.com/arquivos/ids/685195/7702084137520.jpg
Harina pan amarillo,1,Harina pan,500 gr,Harinas,5000,https://megatiendas.vtexassets.com/arquivos/ids/173983/7702084137575.jpg
Distripanela Hernández,4,Distripanela Hernández,240g,Panela,3000,https://megatiendas.vtexassets.com/arquivos/ids/162720/7707190396427.jpg
Bary azúcar,9,Bary,500g,Azúcar,3500,https://images.rappi.com/products/1731770071067_1731770067195_1731770067578.jpg
Azúcar incauca orgánica,8,Incauca,800g,Azúcar,7000,https://en1ya.com/wp-content/uploads/2022/11/AZUCAR-ORGANICA-INCAUCA-X800g.jpg
Azúcar incauca morena,2,Incauca,500g,Azúcar,4000,https://mercaldas.vtexassets.com/arquivos/ids/226452/Azucar-INCAUCA-morena-x500-g_96925.jpg
Mayagüez azúcar blanco especial,7,Mayagüez,500g,Azúcar,3500,https://olimpica.vtexassets.com/arquivos/ids/1125576/7707007214951.jpg
Azúcar incauca,2,Incauca,1kg,Azúcar,5000,https://mercasur.com.co/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDUyMDY2LCJwdXIiOiJibG9iX2lkIn19--b4596426053439fc40db62b92220a3d0ab8fca98/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/8.jpg
Mayagüez azúcar natural,9,Mayagüez,1000g,Azúcar,5000,https://eurosuper.vtexassets.com/arquivos/ids/185247/7707007200411.jpg
Refisal marina,8,Refisal,800g,Sal,3000,https://refisal.com.co/sites/default/files/2024-02/Caja-Marina-Desktop.jpg
Refisal original,6,Refisal,500g,Sal,2500,https://www.mercaboy.com/7001-large_default/sal-refisal-original-1000gr.jpg
Activade sabor a tropical fruit,2,Activade,36g,Bebidas instantáneas,2500,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702354802233_40.jpg
Activade sabor a mandarina,3,Activade,36g,Bebidas instantáneas,2500,https://carulla.vtexassets.com/arquivos/ids/19585034/BEBIDA-ISOTON-POLVO-MANDARINA-13273_a.jpg
Activade sabor a maracuyá,3,Activade,36g,Bebidas instantáneas,2500,https://olimpica.vtexassets.com/arquivos/ids/617942/7702354802158.jpg
Colcafé Capuccino vainilla,4,Colcafé,18g,Café,3000,https://exitocol.vtexassets.com/arquivos/ids/26680550/Cappuccino-Vainilla-COLCAFE-270-gr-3517538_b.jpg
Colcafé café con leche,5,Colcafé,22g,Café,3000,https://exitocol.vtexassets.com/arquivos/ids/27717446/Cafe-Con-Leche-COLCAFE-220-gr-3384491_b.jpg
Fusión café tostado y molido,7,Fusión,40g,Café,3500,https://almin.com.co/53789-thickbox_default/fusion-cafe-liofilizado-50-gr-und.jpg
Colcafe,6,Colcafe,72 gr,Café,5000,https://vaquitaexpress.com.co/media/catalog/product/cache/20550c7acf32f3e8f4083358cffff538/7/7/7702032113088_29.jpg
Tostado selecto,5,Tostao,40 gr,Café,3500,https://images.rappi.com/products/1700164321054_1700164196335_1700164197675.png
Fideos pan,5,Pan,200 gr,Pastas,3000,https://exitocol.vtexassets.com/arquivos/ids/26947567/Pastas-PAN-Alimentacion-Fideos-200-gr-3669669_a.jpg
Spaghetti pan,10,Pan,250 gr,Pastas,3500,https://vaquitaexpress.com.co/media/catalog/product/cache/e89ece728e3939ca368b457071d3c0be/7/7/7702084900094.jpg
Avena fusión en hojuelas,8,Fusión,100 gr,Cereales,3000,https://mistiendas.com.co/16276-large_default/avena-quaker-hojuelas-130g-pr-mt.jpg
Avena quaker molida,7,Quaker,115 gr,Cereales,3500,https://olimpica.vtexassets.com/arquivos/ids/1367436/7702193102822.jpg
Diana con fideos,10,Diana,460 gr,Arroz,5000,https://eurosuper.vtexassets.com/arquivos/ids/159982/7702511009765.png
Diana arroz coco,10,Diana,500 gr,Arroz,5500,https://familiadiana.com/wp-content/uploads/2020/09/MOCKUPS-COCO-1.png
Diana premium,1,Diana,500 gr,Arroz,6000,https://olimpica.vtexassets.com/arquivos/ids/866356/7702511000427.jpg
Florhuila arroz,2,Florhuila,500 gr,Arroz,4500,https://olimpica.vtexassets.com/arquivos/ids/614907/7702231000028.jpg
Arroz rico sopa,2,Rico,500 gr,Arroz,5000,https://www.mercaboy.com/7562-large_default/arroz-rica-sopa-500gr.jpg
Trocitos sabor pollo,8,Trocitos,30g,Snacks,2000,https://olimpica.vtexassets.com/arquivos/ids/904576/7702152104324.jpg
Snacky caramelo,5,Snacky,50g,Golosinas,2500,https://exitocol.vtexassets.com/arquivos/ids/27520801/Snacky-Caramelo-Familiar-X-50-gr-297650_a.jpg
Gomitas trululu aros,4,Trululu,600g (100 unidades),Golosinas,15000,https://olimpica.vtexassets.com/arquivos/ids/901445/7702993015469.jpg
