Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
La Joya lavanda,2,La Joya,500 ml,Aseo,8500,https://www.casaluker.com/wp-content/uploads/2024/03/LA-JOYA-LIMPIAPISOS-LAVANDA.png
Ajax naranja-limón,1,Ajax,1 L,Aseo,12000,https://olimpica.vtexassets.com/arquivos/ids/1548634/7702010223600_1.jpg
Dove super acondicionador,7,Dove,400 ml,Cuidado Personal,18500,https://lavaquita.co/cdn/shop/products/supermercados_la_vaquita_supervaquita_dove_acondicionador_oleo_nutricion_400ml.jpg
Konzil ultra reparación,18,Konzil,350 ml,Cuidado Personal,15000,https://www.droguerialaeconomia.com/economia/site/img/1x/146427.jpg
Pantene acondicionador,35,Pantene,400 ml,Cuidado Personal,16500,https://olimpica.vtexassets.com/arquivos/ids/1483426/7501006721317_1.jpg
Limpiador desinfectante Furor cítrico,2,Furor,1 L,Aseo,9500,"https://static.wixstatic.com/media/739126_4c7e77b7a2f3419590c093ef24478c52~mv2.png/v1/fit/w_500,h_500,q_90/file.png"
Furor ternura,2,Furor,1 L,Aseo,9500,https://mercadoslpineda.co/5679-large_default/limpiador-furor-x-1000-g.jpg
La Joya canela,2,La Joya,500 ml,Aseo,8500,https://www.casaluker.com/wp-content/uploads/2024/02/LA-JOYA-LIMPIAPISOS-CANELA.png
La Joya floral,1,La Joya,500 ml,Aseo,8500,https://s3.pagegear.co/409/productos/17030_800x800.jpg
Limpia piso Goliat lavanda,3,Goliat,1 L,Aseo,10000,https://fantiplasonline.com/wp-content/uploads/2024/04/LAVANDA-1L.jpg
Pantene colágeno,11,Pantene,400 ml,Cuidado Personal,16500,https://locatelcolombia.vtexassets.com/arquivos/ids/319133/7500435191425_2_SHAMPOO-PANTENE-COLAGENO-NUTRE-Y-REVITALIZA-X-300ML.jpg
Desinfectante para pisos Lysol,1,Lysol,1 L,Aseo,14000,https://www.lysol.com.co/static/16215cbfed5f44c3bc299869e753eb6b/b3eed/Lizol_-_CO_-_es-CO-lysol_mpc_brisa_lim_n_3785ml.png
Pantene sin sal,10,Pantene,400 ml,Cuidado Personal,16500,https://olimpica.vtexassets.com/arquivos/ids/1518509/7506309840024_1.jpg
Pantene rizos definidos,2,Pantene,400 ml,Cuidado Personal,16500,https://exitocol.vteximg.com.br/arquivos/ids/26756901/Shampoo-Pantene-PrO-V-Rizos-Definidos-400-Ml-826287_a.jpg
Pantene crema para peinar rizos,6,Pantene,300 ml,Cuidado Personal,14000,https://olimpica.vtexassets.com/arquivos/ids/1787503/7501001170080_1.jpg.jpg
Savital aceite de argán y sábila,10,Savital,350 ml,Cuidado Personal,13500,https://copservir.vtexassets.com/arquivos/ids/1565594/CHAMPU-SAVITAL-ACEITE-ARGAN-SA_F.png
Savital anticaspa,20,Savital,350 ml,Cuidado Personal,13500,https://distrimarketsas.com/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTc0NTQwNywicHVyIjoiYmxvYl9pZCJ9fQ==--d1ce5d517b2c7cae54e30b31bad6e5540d6c4be6/chasavital-anticaspa-350-ml.png
Dove hair therapy,10,Dove,400 ml,Cuidado Personal,18500,https://m.media-amazon.com/images/I/61fp89xSpSL._SL1500_.jpg
